RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
055.791839|+00.104006|J034310.04+000614.4|4136-301-4-0190-0199|1237663238741426375|416-51811-0514 | 468515678874265600|19.093| 0.039|17.779| 0.007|17.043| 0.005|16.618| 0.005|16.335| 0.013| 0.13097| 0.00002


030.636482|-01.089949|J020232.75-010523.8|4263-301-1-0320-0305|1237663782600180017|404-51812-0285 | 454941932968241152|19.335| 0.040|17.866| 0.007|17.012| 0.005|16.565| 0.005|16.241| 0.011| 0.13682| 0.00001

015.860859|+00.331612|J010326.60+001953.8|4858-301-4-0460-0238|1237666339725508846|3736-55214-0530|4206507824731844608|21.994| 0.250|20.279| 0.023|18.924| 0.012|18.418| 0.011|18.070| 0.030| 0.23675| 0.00005

036.316566|+00.674127|J022515.97+004026.8|2820-301-5-0109-0544|1237657587096027680|3615-56544-0580|4070287702212931584|23.128| 0.540|21.140| 0.047|19.936| 0.024|19.445| 0.026|19.127| 0.060| 0.24264| 0.00005




013.695653|-00.251005|J005446.95-001503.6|4263-301-3-0207-0593|1237663783666516561|4224-55481-0235|4755865894768013312|21.935| 0.215|21.122| 0.074|20.630| 0.060|20.481| 0.069|19.931| 0.156| 0.24782| 0.00002



015.734752|+00.183006|J010256.34+001058.8|4263-301-4-0221-0388|1237663784204304772|4226-55475-0535|4758200157853118464|24.033| 0.667|21.360| 0.044|20.162| 0.023|19.781| 0.023|19.606| 0.079| 0.20442| 0.00007



008.906857|+00.369487|J003537.64+002210.1|2728-301-4-0472-0232|1237657191445954792|3587-55182-0738|4038805912680067072|21.812| 0.350|19.710| 0.023|18.391| 0.012|17.842| 0.011|17.394| 0.029| 0.25871| 0.00003




044.930424|-00.954866|J025943.30-005717.5|4849-301-1-0755-0462|1237666299479523790|4242-55476-0050|4776081240594509824|25.153| 1.614|22.087| 0.165|21.680| 0.168|21.460| 0.219|21.898| 1.051| 0.25492| 0.00005


014.497764|-00.686296|J005759.46-004110.6|4263-301-2-0212-0848|1237663783129973584|4225-55455-0418|4757042096895619072|22.209| 0.375|21.059| 0.068|20.353| 0.057|20.045| 0.091|19.659| 0.157| 0.26756| 0.00003


046.795916|+01.119980|J030711.01+010711.9|4849-301-6-0767-0114|1237666302164664434|1564-52991-0332|1760998763947649024|21.490| 0.186|19.398| 0.015|18.299| 0.009|17.826| 0.009|17.471| 0.021| 0.12976| 0.00003


039.020834|-00.994357|J023605.00-005939.6|2820-301-1-0127-0151|1237657584949723287|4239-55458-0256|4772760165420822528|21.461| 0.191|19.859| 0.024|18.646| 0.013|18.143| 0.012|17.791| 0.028| 0.26263| 0.00004

033.741320|+00.602716|J021457.91+003609.7|4263-301-5-0341-0284|1237663784749039900|4236-55479-0726|4769511658668879872|20.399| 0.081|19.493| 0.020|18.898| 0.017|18.597| 0.020|18.550| 0.060| 0.18544| 0.00002

036.722389|-00.327850|J022653.37-001940.2|4263-301-3-0361-0572|1237663783676609084|3615-55179-0352|4070225007149248512|22.927| 0.355|21.561| 0.056|20.833| 0.044|20.505| 0.046|20.340| 0.154| 0.20647| 0.00003

054.927423|+01.092671|J033942.58+010533.6|4849-301-6-0821-0204|1237666302168203468|416-51811-0411 | 468487366449850368|20.790| 0.251|18.455| 0.014|17.347| 0.009|16.848| 0.009|16.499| 0.021| 0.18136| 0.00004



034.806036|-00.384528|J021913.44-002304.3|4263-301-3-0348-0619|1237663783675757163|4237-55478-0384|4770543550314770432|22.729| 0.302|21.513| 0.054|20.193| 0.026|19.643| 0.024|19.314| 0.064| 0.24992| 0.00006


025.648327|-01.213931|J014235.59-011250.1|4263-301-1-0287-0348|1237663782598017372|3639-55205-0112|4097180634652012544|21.822| 0.205|20.533| 0.036|19.704| 0.024|19.311| 0.026|19.049| 0.069| 0.12588| 0.00003


018.935366|+01.037697|J011544.48+010215.7|4263-301-6-0242-0468|1237663785279422932|4227-55481-0828|4759406597087358976|22.127| 0.344|20.880| 0.054|20.228| 0.045|19.920| 0.052|19.807| 0.158| 0.28102| 0.00003











009.879408|+01.023691|J003931.05+010125.2|4247-301-6-0175-0335|1237663716555555151|3588-55184-0708|4039923566283255808|20.554| 0.143|18.922| 0.017|17.761| 0.010|17.276| 0.010|16.969| 0.024| 0.24685| 0.00002





022.930588|-00.731979|J013143.34-004355.1|4263-301-2-0269-0410|1237663783133708698|4230-55483-0458|4762682592015872000|25.859| 0.589|21.846| 0.082|20.662| 0.043|20.061| 0.036|19.653| 0.091| 0.25340| 0.00010



016.175405|-00.356288|J010442.09-002122.6|4263-301-3-0224-0435|1237663783667630515|3735-55209-0262|4205308257462054912|22.837| 0.399|22.101| 0.095|21.129| 0.060|20.926| 0.071|20.810| 0.233| 0.24511| 0.00004

044.617350|-00.970605|J025828.16-005814.1|4849-301-1-0752-1086|1237666299479327806|4242-55476-0092|4776092785466601472|22.561| 0.360|22.373| 0.143|21.597| 0.103|21.540| 0.155|21.902| 0.684| 0.22116| 0.00002


032.459698|-00.061702|J020950.32-000342.1|4874-301-3-0638-0358|1237666407919780198|4236-55479-0520|4769455033820049408|22.201| 0.298|20.488| 0.029|19.430| 0.019|18.929| 0.017|18.641| 0.047| 0.21280| 0.00003


041.785734|+00.775272|J024708.57+004630.9|7717-301-1-0608-0207|1237678617436094671|4240-55455-0948|4774076280788938752|20.999| 0.098|19.961| 0.020|19.193| 0.014|18.743| 0.014|18.509| 0.038| 0.18979| 0.00002


016.868101|-00.269344|J010728.34-001609.6|4263-301-3-0228-0889|1237663783667893113|3735-55209-0120|4205269224799268864|22.387| 0.234|20.687| 0.030|19.773| 0.020|19.391| 0.019|19.063| 0.051| 0.10136| 0.00006


041.213376|+00.365324|J024451.21+002155.1|4874-301-4-0696-0240|1237666408460452080|4241-55450-0570|4775098276763070464|21.604| 0.429|19.230| 0.022|17.983| 0.012|17.462| 0.011|17.076| 0.032| 0.25717| 0.00003







041.024961|+00.521256|J024405.99+003116.5|4136-301-5-0092-0683|1237663239271875243|4241-55450-0526|4775086182135164928|25.409| 0.863|22.750| 0.190|21.965| 0.137|21.855| 0.197|21.756| 0.555| 0.19917| 0.00007










052.381273|+00.516815|J032931.50+003100.5|3438-301-5-0149-0620|1237660241388438124|1566-53003-0593|1763322307096373248|22.950| 0.562|21.001| 0.047|19.634| 0.021|18.995| 0.018|18.578| 0.040| 0.20917| 0.00010



054.417949|+00.998371|J033740.30+005954.1|3438-301-6-0163-0346|1237660241926226266|714-52201-0331 | 803983554999511040|20.482| 0.116|19.488| 0.019|18.638| 0.014|18.233| 0.014|18.026| 0.041| 0.21885| 0.00001








002.915606|-00.415043|J001139.74-002454.1|4263-301-3-0135-0392|1237663783661797768|4217-55478-0025|4747926871009325056|21.286| 0.112|20.350| 0.024|19.696| 0.021|19.364| 0.022|19.318| 0.078| 0.19772| 0.00003


010.162442|-00.073569|J004038.98-000424.8|2728-301-3-0481-0437|1237657190909673909|3589-55186-0436|4040974699432964096|23.102| 0.492|22.077| 0.087|21.245| 0.063|20.888| 0.065|20.807| 0.238| 0.23813| 0.00004

002.681480|+00.201849|J001043.55+001206.6|4263-301-4-0133-0214|1237663784198537430|4217-55478-0940|4748178384294178816|21.330| 0.174|19.988| 0.026|18.631| 0.013|18.144| 0.012|17.734| 0.032| 0.24358| 0.00002







003.428663|+00.652322|J001342.87+003908.3|2728-301-5-0436-0657|1237657191980466833|4218-55479-0720|4749243811078270976|22.942| 0.455|21.152| 0.047|20.694| 0.045|20.251| 0.047|20.246| 0.161| 0.15405| 0.00002


005.683158|-00.479388|J002243.95-002845.7|2728-301-2-0451-0081|1237657190370836561|4219-55480-0150|4750213030594932736|19.122| 0.067|17.798| 0.010|17.112| 0.009|16.746| 0.009|16.502| 0.019| 0.10817| 0.00003

035.140601|+00.203344|J022033.74+001212.0|4263-301-4-0350-0809|1237663784212759337|4237-55478-0688|4770627113198481408|22.618| 0.564|21.216| 0.080|19.764| 0.034|19.096| 0.028|18.766| 0.082| 0.28893| 0.00012






011.305913|+00.828938|J004513.41+004944.1|4128-301-5-0198-0889|1237663204919083897|4222-55444-0950|4753810632037036032|21.677| 0.299|21.087| 0.081|20.255| 0.057|19.892| 0.070|19.703| 0.217| 0.29590| 0.00006





017.881158|+00.409524|J011131.47+002434.2|4858-301-4-0474-0444|1237666339726426556|3736-55214-0922|4206615576871366656|22.516| 0.334|21.643| 0.061|21.063| 0.057|20.907| 0.069|20.377| 0.187| 0.24687| 0.00002

013.509213|+01.068919|J005402.21+010408.1|4858-301-6-0444-0189|1237666340798202045|4224-55481-0709|4755996186895904768|21.490| 0.204|20.124| 0.026|19.065| 0.016|18.647| 0.017|18.390| 0.046| 0.20590| 0.00003








017.447175|-00.588811|J010947.32-003519.7|4858-301-2-0471-0004|1237666338652487684|4227-55481-0484|4759312039087370240|24.018| 1.196|21.419| 0.060|20.278| 0.033|19.818| 0.033|19.606| 0.096| 0.29574| 0.00008




034.149693|-00.155285|J021635.92-000919.0|4874-301-3-0649-0578|1237666407920501314|4236-55479-0198|4769366523134013440|23.034| 0.564|21.576| 0.065|20.228| 0.030|19.686| 0.027|19.390| 0.085| 0.31605| 0.00006






040.626648|-00.971263|J024230.39-005816.5|2820-301-1-0137-0709|1237657584950379205|3650-55244-0104|4109563335258337280|26.200| 1.143|20.964| 0.092|19.869| 0.047|19.353| 0.045|18.812| 0.103| 0.23852| 0.00016

