objID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,dered_u,dered_g,dered_r,dered_i,dered_z
1237663204921377321,22.35166,21.25688,20.00878,19.53232,19.16141,22.21826,21.15872,19.93759,19.47834,19.12313
1237663204921573628,20.09757,18.87975,18.17071,17.76879,17.47646,19.95465,18.77459,18.09444,17.71095,17.43546
1237663204921704786,22.02985,20.85625,19.97079,19.75431,19.49939,21.89348,20.75591,19.89801,19.69913,19.46026
1237663204922425799,22.67711,21.60349,20.57687,20.12814,19.72294,22.51583,21.48482,20.4908,20.06288,19.67667
1237663204923343352,25.20423,22.56363,20.93051,20.18396,19.80689,25.04031,22.44303,20.84304,20.11763,19.75986
1237663237122687153,19.86281,18.6871,18.03481,17.7063,17.54852,19.68037,18.55286,17.93745,17.63248,17.49618
1237663237667553616,21.05601,19.52003,18.78907,18.36903,18.02046,20.57918,19.16918,18.5346,18.17607,17.88365
1237663238741426375,19.09255,17.77886,17.04327,16.61779,16.33463,18.62987,17.43843,16.79636,16.43056,16.20189
1237663239271875243,25.40908,22.74974,21.96496,21.85528,21.75562,25.23548,22.62201,21.87232,21.78504,21.70581
1237663239272268378,21.53921,20.80514,20.24637,19.91961,19.80346,21.32505,20.64756,20.13208,19.83295,19.74202
1237663239272661358,23.51417,21.84892,21.08504,20.80957,20.2981,23.13289,21.56838,20.88157,20.65528,20.18871
1237663239278231823,21.65033,19.66519,18.67096,18.2415,17.96537,21.14144,19.29076,18.39939,18.03557,17.81936
1237663275780538659,22.57582,20.24649,18.79082,18.25998,17.93068,22.4017,20.11837,18.6979,18.18953,17.88072
1237663277929988214,21.51574,20.49594,19.48544,19.05667,18.92811,21.38863,20.40241,19.41761,19.00523,18.89165
1237663278467317915,19.48429,18.2627,17.3819,16.95086,16.67101,19.37253,18.18046,17.32226,16.90564,16.63895
1237663278472626412,21.10081,20.06246,19.60542,19.30462,19.11105,20.94447,19.94742,19.52199,19.24136,19.06619
1237663716018029110,21.03823,19.91155,19.15192,18.83167,18.72862,20.92582,19.82885,19.09193,18.78619,18.69637
1237663716019667290,20.25494,19.57247,19.17806,18.87322,18.89557,20.13465,19.48396,19.11386,18.82454,18.86106
1237663716555555151,20.55361,18.92159,17.76138,17.27625,16.96942,20.44969,18.84512,17.70592,17.23419,16.93961
1237663782589169985,21.53752,21.11821,20.05598,19.84085,19.6185,21.39666,21.01457,19.98082,19.78385,19.57809
1237663782590349551,21.16495,20.3121,19.8151,19.45468,19.14653,21.05943,20.23446,19.75879,19.41198,19.11625
1237663782590873812,23.36298,20.81347,19.16203,18.57898,18.15257,23.25414,20.73338,19.10395,18.53493,18.12134
1237663782591070925,22.96925,21.07679,20.04403,19.64261,19.52383,22.84322,20.98405,19.97677,19.59161,19.48767
1237663782591856783,19.62732,17.37196,16.16155,15.57371,15.15959,19.5103,17.28586,16.0991,15.52636,15.12602
1237663782598017372,21.82172,20.53255,19.70394,19.31132,19.04939,21.688,20.43417,19.63258,19.25721,19.01103
1237663782598345186,21.46013,20.1729,19.16602,18.7595,18.37184,21.29062,20.04818,19.07556,18.69091,18.3232
1237663782600180017,19.33454,17.86635,17.01183,16.56474,16.24112,19.18999,17.75999,16.93469,16.50624,16.19965
1237663782601294421,21.05441,19.98895,18.99274,18.5992,18.3292,20.92497,19.89372,18.92366,18.54682,18.29207
1237663782602670523,23.73955,22.3922,21.82098,21.29516,20.92267,23.58574,22.27903,21.7389,21.23292,20.87854
1237663782603325756,21.39024,20.35218,19.51227,19.17464,18.98449,21.20137,20.21321,19.41148,19.09821,18.9303
1237663783126434560,22.58568,21.58923,20.89653,20.54173,20.45429,22.47383,21.50692,20.83683,20.49647,20.42219
1237663783126958311,21.83293,20.38378,18.90263,18.3575,17.98615,21.72219,20.3023,18.84353,18.31269,17.95438
1237663783126958321,19.88776,18.45869,17.62325,17.21835,16.92234,19.78146,18.38047,17.56652,17.17533,16.89184
1237663783127023965,20.7746,20.1226,19.75309,19.4227,19.40837,20.65578,20.03517,19.68968,19.37461,19.37428
1237663783129973584,22.20877,21.05858,20.35256,20.04537,19.6589,22.06016,20.94923,20.27325,19.98524,19.61626
1237663783130431658,22.56063,19.97846,18.73012,18.23779,17.86089,22.33789,19.81458,18.61126,18.14766,17.79699
